author,content,stat_time,thumbs_up
程枂儿,有私人水果刀一把。今天刚到公司看见一戳弟在用我的水果刀削苹果！削一块就往嘴里塞的那种！我装没看见，故意在找东西！同事问我在找什么啊？我故意大声说：“我昨天削脚上老皮的小刀呢！”那货马上傻眼了！所有人都望着他！嘴里还含着一块苹果！,"
2020-08-09 15:49
",1088
出门太难,"我和无书认识的时间不长，但聊得很投机。相见恨晚呐我！。。,最近这段时间，无书忽然没动静了，不发帖子，不发动态，甚至连他的群里，他也不冒泡。,我在私信里千呼万唤，嗓子都喊哑了，他也不回一声。。,经过千方百计的打听，我终于知道了事情的真相:原来，无书被他那个温柔体贴，善良可爱的媳妇，把一双爪子打残了，再也上不了网，玩不了手机了！。。,我的眼泪当时就掉下来了！因为无书在私信里发了段语音给我，说画画之所以如此对他，是因为怀疑我和他那个。。那个。。,特么的！我。。我找谁说理去？！。。​","
2020-07-30 06:12
",1606
狐小乔,"七夕，牵着老公的手逛街，不远处一对情侣也手牵手，男的还抱着一大束花，我回头看了老公一眼，幽幽地说，你看看人家老公……,突然，一个黑背心、手提黑塑料袋的男人冲过来……男的吓得把花丢了，撒腿就跑。,黑背心愣了一下，弯腰捡起地上的空水瓶。,那女的骂道：你跑啥？不是我老公，胆小鬼……","
2020-08-26 10:46
",1321
正版煮茶,"我发小气管炎，心情不好去蹦迪还带着他老婆。我很不理解，问他为什么带他老婆去蹦迪，是不是他老婆不放心他？,他解释：只有在迪厅，我可以骂她骂的很有节奏感，她还得给我点头哈腰的。","
2020-09-05 08:55
",1685
-小门神~,"那年逃课去后山玩，遇见老爹和二叔山中采药！二叔骗我，说他们在找千年何首乌,老爹奇怪地问我:现在不是应该在上课吗？ 楼主支支吾吾！,二叔坏笑道:大哥，传说千年灵药非常妖孽，可以千变万化！,老爹揍了我一顿:大胆妖孽，竟敢冒充我儿！接着，他俩将我捆成猪抬回学校…","
2020-07-29 07:07
",1613
夏有凉风秋望月,"那天我约大妹去逛街，正走着呢，大妹手机响了，大妹把怀里的小公举塞给我，她去接电话了，我就一个人抱着小公举慢慢的往前溜达着,居然偶遇前任，我本能的想避开，那货居然凑上来了，阴阳怪气的说，哟，孩子都这么大了呀！怪不得你当初那么着急的离开我，怎么，一个人逛街呢！你是不是又被甩了呀！像你这么胖，不被甩才怪呢！,我咬着牙笑着说，咱们改天再谈谈！,如果不是顾及怀里的小公举，我特么想把他变成肉饼！让你知道姐身上的肉肉可不是白长的！","
2020-07-28 18:41
",1452
偷惢,"小时候惹祸被妈妈好顿揍，等爸爸回来之后，我给他拉到一边，一把鼻涕一把泪的告状。,爸爸了然，猛的一拍桌子，冲着我妈大喊:“媳妇，这熊孩子告状让我揍你！”,然后，我又被妈妈揍了一顿……","
2020-09-11 18:01
",1635
璃白°,"公司之前都是固定车位，然后经常空的空，没地方停的没停放停，我机灵的在会议上建议按照先来先到的原则，又能刺激上班积极性，方案快速获得老板和与会者的表决通过。,今天，老板应酬客户喝酒起晚了，开车在公司溜了一圈没车位，只好开车出去停在别人的厂区，然后气喘吁吁的一路小跑500米过来，火速召集大家一会儿开会。,我有点慌。。。。","
2020-08-07 06:18
",2227
坏小孩cium,"公司上班呢，因为我们部门业绩不好，开会挨批评了，气的上司抓过杯子猛灌水，一缸子喝的快见底了，气的她冒烟。,    为了让她消消气，我对着我们部门我新招的萌美女点点头，然后对着上司的杯子比个加水的动作。,   小萌妹子，先是蒙圈了一下，然后小碎步起身碎到上司面前，拿起杯子剩余的水往上司头上倒了下去。。。。","
2020-09-09 06:32
",1614
狐地瓜大人,"“有没有觉得，当你去修理电子产品的时候，怎么检测都正常，只要离开维修点，东西就又不正常了。” 我一本正经对着妹子说道。,“虽然现在都这么晚了，我还是可以陪你回家，帮你检查下电脑啥的有没有问题！”我继续对妹子说道。,妹子：滚！！","
2020-08-24 08:33
",1065
忧郁的创可贴,"周六同事需要加班,让我代她参加下午的亲子赛跑活动,听说前三名有奖励数量不错的小红花,那天下午我盛装出行。,同事的宝宝是认识我的,远远看到我过来,就跑到幼儿园里面进去了,边跑边和老师喊:我不认识小美阿姨,她那么胖! 一定跑不过别人的。。。。。。","
2020-08-01 06:56
",1455
芭蕉窗下听雨声,"中午家里开始停电，手机玩着玩着没电了。想着打开电脑充电。,电脑打开后想起昨天刚换的路由器和密码。就连接上吧！,可倒腾半天也没接上，生气的我就打了安装师傅的电话。把他说了一顿后让他过来连接。,可他听完之后说：姐，别气哈！我建议你玩个倒立的游戏。,我莫名奇妙的怼道：你来连接就行了，我没心情玩倒立。,谁知他轻声细语的劝道：姐，（你家停电了，闲着也是闲着）试试吧！说不定脑子里的水能空出点呢......","
2020-07-26 17:50
",1891
-小门神~,"我和老姐，参加同村人的婚礼！在女方家，新娘弟弟拿出一个馍递给新娘！,新娘哭着吃了一口，又吐回弟弟衣兜。老家习俗，管这叫“吃分家饭”。,意思是新娘嫁人，还会疼爱弟弟！有新娘一口吃的，就有弟弟一口吃的…,老姐正怀着孕，我发觉带个孕妇来参加婚礼不太方便，便打趣道:,姐你可别吐啊，我不想吃……","
2020-07-26 18:01
",1190
忧郁的创可贴,"听大家说，老板的四岁儿子很聪明伶俐，那天老板带他到公司，他在一个人大堂玩耍。,我走过去逗他: 小朋友，你叫什么名字呀？,他喵了我一眼道: 我妈说不能告诉陌生人。,我逗他:羞羞脸诶，这么大了，连自己名字都不知道，真逊。,他急了，跳起来争辩道: 谁说的，谁说的，我叫杜梓腾，我叫杜梓腾。。。,​","
2020-08-06 08:05
",1600
a依然美好,"个人身体原因做了个小手术，晚上想吃排骨，看我老公在睡觉，就准备自己做，然后随口就给4岁半的儿子说了句:我想吃排骨，你爸爸睡着了，我去做吧！,然后我儿子一系列的做法惊呆了:,第一步:就很大声的动作吵醒了我老公，看我老公醒了，就对我说:妈妈你别做了，爸爸醒了！,第二步:跑到爸爸面前:爸爸，我想吃排骨，特别想吃，你给我做个吧！,第三步:跑到我面前:妈妈，爸爸说，你别做，他给我们做,这些动作一气呵成！有子如此，足矣⚠","
2020-08-13 17:00
",1330
偷惢,"老家在山区信号不好，好在有wifi，这让跟男友热恋中的我不至于断了联系。,今天一直下雨，没啥事捧着手机跟男友视频，“咔嚓”一个大雷瞬间停电，一看手机，别说数据连不上，连电话都打不出去。实在没招打伞顶着大雨出去走半小时才给他发出去条短信告知别担心。,深一脚浅一脚的走回家，然后发现，来电了！","
2020-08-19 15:22
",2068
tonoon,"高中的时候，有一个对我们班很有偏见的老师，一上我们班的课就要把我们全班都饶上训一顿，所以全班同学商量好，只要那个老师的课是上午最后一节，全班就要整整他。下课铃一响，全班一半人去买饭，剩下一半人轮流去问问题，等前一半人吃饭回来，全班换班继续去问问题，另一半人去吃饭。直到最后老师只有快到一点钟的时候才能吃上自己泡的方便面。,然鹅，我们的成绩居然提高了","
2020-07-19 22:01
",2218
夏有凉风秋望月,"人事强力推行让我们一天打四次卡，说是老板说的。,然后我老出差，就写了特批单让老板签字，让我一天打两次，老板最后同意了，然后大家群起效仿.,现在除了人事部打四次卡，其他部门都打两次。。。","
2020-09-13 06:40
",1925
忧郁的创可贴,"公司新采购的一批绿植到了，还附赠了好多小盆栽，人人有份，其中一盆的花语是爱情到来，我眼疾手快赶紧抢到手，然后仔细询问了花的习性和养护方法,我对这花是真真上心，埋了花肥，找了最好的阳光位，知道它喜潮湿时不时就用喷壶喷下，期待我美好的爱情,第二天一上班，发现花叶全部脱落，死的透透的。。。","
2020-07-28 06:45
",1946
狐小乔,"妹妹问姐姐：晚上我有个聚会，你能把姐夫借我吗？冒充我男朋友。,姐姐：不行！人家有借钱、借车，甚至借房子的，哪有借姐夫的。,妹妹：姐，那你借我500块钱吧，我租个男朋友。,姐姐：你说什么？再说一遍？,妹妹：借给我500……,姐姐：不是这句，上一句？,妹妹：把姐夫借给我参加聚会……,姐姐：行！晚上早点回来。,妹妹：不带这样玩的！,片刻，妹妹给姐夫发信息：晚上给你请好假了，你答应的红包发过来吧。,姐夫回复六个字：谢谢妹妹！红包！,妹妹笑：不是一家人，不进一家门！你们两口子都这么抠？没关系，我有聊天记录……,一分钟后，姐夫1000元红包发过来了。","
2020-08-09 18:59
",1142
忧郁的创可贴,"给男票发了一张自拍，并P上了五个字：标准锥子脸,男票一看： 媳妇啊，你这锤子脸的锤是个错别字啊。。。","
2020-08-11 06:47
",1180
国家一级情报员,我一朋友生了双胞胎儿子，但特想要一女儿。于是与妻子决定偷生。十个月都没有做过孕检，昨天生了，现在傻眼了，妈蛋，又是双胞胎儿子……,"
2020-08-08 10:28
",1008
歌歌哒f,"我弟出生那年，我爸妈一直对我说“你是当哥的，要爱护弟弟，照顾他，保护他，事事让着他”……,等到我弟能走后我便成了他的守护神，在这期间如果是我犯错我妈把棍子打断了我都不吭一声或掉一滴泪……,但我妈只要沉着脸看我弟一眼或者大声对他说一句责怪的话，我就哭的死去活来，,要是打了我弟的话，我就用头撞墙，发疯似的自言自语的说着“对不起、对不起”之类的话以求的他们的原谅，,同时还只吃不拉的威胁道：我要让你们家出现第一个活人被屎尿憋死的人，让你家祖上蒙羞，以至于我弟一犯错我就拉裤子里，然后又换来一顿打……,久而久之我父母也觉得我是个护弟狂魔……,直到有天我撮使着我弟偷家里的钱，买了一个我最爱的玩具枪，,我妈便对我们进行了最严厉的惩罚，以我弟肉体上的惩罚来达到对我精神上的摧残，,但没把握好力道把我弟直接打住院了我去看他时没忍住笑出了声……","
2020-07-28 08:14
",1269
。蝶舞。,"今天七夕。,我:老公今天七夕你能不能在家陪我一天？,老公:我们现在包的工程赶时间我现在一天能挣三四百，你确定我要陪你一天？,我:那还是算了吧挣钱要紧。","
2020-08-25 06:53
",1417
点赞的战斗猪,小时候拿着过年用的猪头练过接吻！,"
2020-08-23 11:43
",2592
净心居士,"秀逗是一个很好的朋友，上次路过他所在的城市非要我停留下请我吃饭！盛情难却呀,吃饭的时候他一脸苦相，我想他这是怎么了？是不是我点多了？大不了这餐我请就是了，从今以后就当不认识！,谁知道他对我说:净身，我智齿疼死了，等会你陪我去拔牙吧！,这有啥大不了的，没问题！,于是我搜索附近的牙科诊所，最近的也有二三十公里，好一点的更远。不过，有车没问题呀！,谁知道吃过饭后，他直接来到隔壁的宠物医院让里面的兽医帮他拔牙[捂脸][捂脸][捂脸]，还说咱都是老熟人的，上次我家的金毛也是你给拔的，给我拔应该没问题的！,我去这是什么思维，但是感觉又没啥问题[大笑][大笑][大笑]","
2020-09-04 18:56
",1388
出门太难,"有个二货，天天炫耀他那两吨半的女友胖丫，可把我气坏了：凭什么你们个个有女伴，就我一个人是单身狗？,我挖空心思，终于联系上了胖丫，灌了无数迷魂汤，才骗得那傻妞答应和我见面。我的目的很单纯，就想看看，这个号称能上吉尼斯世界纪录的大胖妞，到底有多肥！……,到了约定那一天，我坐在公园的凉亭里，东张西望，渴望早一点看到那如山一般雄壮的身影。,正在我等得不耐烦的时候，一个形容猥琐的青年男子鬼鬼祟寄走了过来，问我：你就是出门太难？,我看到他手上拿着的塑料玫瑰花，再看看我手上的，傻眼了：原来传说中的胖丫，竟然是一个瘦小枯干的男人！,男子看穿了我的心思，说：我不是胖丫，我是她男朋友净身居士！,我问：胖丫呢？,净身居士苦恼的说：胖得一步路都走不动了，非逼着我来见你，说是做人要有诚信！……,临走时，净身居士故作神秘的说：胖丫叫我转告你，实在找不到女人，就随便找个男人嫁了吧！她看不上你啊！！！……,我……我也没看上她啊！！","
2020-08-01 09:01
",1208
℡雨竹,"用燃气灶烧水，回卧室坐下来玩这坨……,突然门一开，老公怒气冲冲的闯进来“你说你玩了多久手机？外边都快着火了你都不知道?!”,来到厨房一看，我的天，水早就干锅了，整个锅乌漆嘛黑的，锅盖上的钮都化没了。,这……这……这还不是因为你没有买个好点的干锅能自动断火的燃气灶?!,于是我把老公打了一顿……","
2020-09-11 06:21
",3171
隔壁小罗\～,"35岁 你因为身体越来越差,加班越来越少,晋升的速度也越来越缓慢,那天下班，媳妇告诉你,孩子要上幼儿园了,双语的一个月3000,你皱了皱眉头，那边就已经不耐烦了,“四单元的老王家孩子，一个月6000”,“你已经这样了，你想让孩子也输？”,你没说话，回屋给媳妇转了6000块钱,这笔钱，你原本打算给自己过个生日，买个新电脑,38岁，孩子上了一年级,老师说一年级最关键，打好基础很重要,你笑着说，是是是，老师您多照顾,新生接待的老师看着你不明事理的脸,给你指了一条明路,“课外辅导班，一个月2200”,40岁的时候，孩子上了三年级,老师说，三年级，最关键，承上启下很重要,你笑着说：是是是，正打算再报个补学班,44岁，孩子上了初中,有一天回到家，她对你说,爸爸，我想学钢琴,你没什么犹豫的,你以为这些年，你已经学惯了,但那句“爸爸现在买不起”你始终说不出口,好在孩子比较懂事,她说：爸爸没事，要不我先学陶笛也可以,你看着这么懂事的孩子，却开心不起来,46岁，孩子上了一个不好不差的高中,有一天你在开会，接到了老师的电话,电话里说你的孩子在学校打架了,叫你去一趟,你唯唯诺诺的,和那个比你还小5岁的领导请了个假,到学校又被老师训了一通,无非台词就是那一句,你们做家长的就知道工作，能不能陪陪孩子,你看着这个老师，有点可笑,好像当时说：,家长在外辛苦点,多赚点钱让孩子多补补课的和他不是一个人,50岁，孩子上了大学,很争气，是一个一本,他学的专业你有点看不懂,你只知道工作不一定好找,而且学费还死贵,你和他深夜想聊聊,准备了半斤白酒，一碟花生米,你说着那些曾经你最讨厌的话,还是要为以后工作着想,挑个热门的专业,活着比热爱重要,你们从交流变成了争吵,你发现，你老了,老到可能都打不过这个18岁的孩子,你说不过他，只能说一句：我是你爸爸！,孩子看着你，知道再怎么争辩都没用,这场确立你最后威严的酒局不欢而散,你听的不真切,在孩子回自己屋的路上好像叨叨了一句,“我不想活的像你一样”,怎么就哭了呢？50岁的人了,一定是酒太辣了，对不对,一定是酒太辣了,55岁，孩子工作了，似乎有一点理解你了,但你却反了过来，你说不要妥协,56岁，孩子也结婚了,你问他喜欢那个姑娘么,他愣了愣说：喜欢吧,60岁，辛苦了一辈子，想出去走走,身边的那个人过了30年,你依旧分不清到底喜不喜欢,你们开始规划旅游路线,这么多年了,你们还是存在分歧，还是在争吵,某个瞬间，你觉得,这样可能也挺好,一切都准备好了,儿子说：爸妈，我工作太忙了,可以帮我照顾一下孩子么,你们退了机票，又回到了30年前,70岁，孩子的孩子也长大了，不用天天操心了,你下定决心说：一定要去玩一趟,可是手边的拐杖,只能支持你走到楼下的花园,75岁，你在医院的病床上,身边聚满了人，你迷迷糊糊的看见医生摇了摇头,周围那些人神情肃穆,你明白了，你要死掉了,你没有感到一丝害怕,你突然问自己，我到底是什么时候死掉的呢？,你想起来30岁的那场婚礼,原来，那时候，你就死掉了吧,依照惯例,死前的3秒，你的大脑要走马灯,倒叙你这75个年头的一生,画面一张一张的过,1秒,2秒,两秒过去了,你面无表情的看着这两秒内的回忆,第3秒,突然你笑了,原来已经回到了15岁的那一年,你看见一个男孩,他吊着一袋牛奶，背着书包,从另一个女孩家的阳台下跑过,那个男孩朝窗户里看了看,那是15岁的你暗恋的那个女孩子,你想不起来她长什么样子了,最后一秒你努力的回忆着,然后终于笑了出来,3秒过去了,身边的人突然间开始嚎啕大哭,你可能听不清了,你最后听到的嘈杂的声音,是一群十五六的少年 起着哄说的,答应他,答应他,答应他,---------------------------","
2020-08-26 12:36
",4631
金失&金华,"小时候上山抓蝎子，救回来一只受伤的小鹰，它已经奄奄一息了……,回到家偷偷把它养在后院闲置的柴房里，每天喂水喂食，还把它的伤口用碘酒消毒……,功夫不负有心人，它的伤慢慢的好了，就把它放走了……,后来这只鹰经常偷偷来我家，直到我爸把散养的鸡关到了鸡笼里……","
2020-07-18 08:03
",2834
精灵不次饭～,"老公主动拖地，那我去帮他擦车吧。提着水带着毛巾下楼，好热。两边的车门擦完，我发现隔壁楼的一大哥在旁边阴凉处，歪着头抱着膀子看着我，见我回头，他笑着说妹子，今天好热哈，你都热糊涂了。我：嗳？是热，不过我挺清醒的啊！,大哥：那你擦的是我的车你晓得不？,……？？！！","
2020-08-12 17:15
",2278
夲少姓〖劉〗,"一边给媳妇捏脚，一边和媳妇聊天,我：哎媳妇，我们单位做饭那个大姐昨天离婚了！,媳妇：妈呀，她咋还离婚了呢？,我：第三者插足呗，我们单位人全认识她老公，老实巴交的跟我一样，每月工资全上交，看着也不像那种人呀！,媳妇：哼，那咋还整出个第三者呢？,我：唉😔也全怪我们单位大姐，也太苛刻了太过分了，听说那小三就给她老公买了一条烟和一瓶饮料就给勾搭走了！,媳妇：那啥别按了，你是不是那个缺烟了？,我：我不是那个意思→_→,媳妇：我给你充点钱，然后就给我转账！,我：go go go go go go了！媳妇[嘿嘿][嘿嘿],媳妇：你把你烟啥的都续上奥！,我：哎呀,,Ծ^Ծ,,用不了这么多,媳妇：行了行了，你去吧，去吧，完了以后缺啥都吱声啊→_→","
2020-09-05 06:52
",1041
忧郁的创可贴,"我经常在pyq卖一些自己养的多肉植物，一个买家小哥哥就经常问我一些售后问题，我都是耐心解答，时间长了小哥哥也经常请我吃个饭什么的感谢一下。,终于有一天，小哥哥向我表白了，但被我果断拒绝了。,小哥哥很挫败的问我原因，我告诉他:  我就是不能让人家说，你这媳妇是买多肉送的。。。。。。","
2020-08-13 07:34
",2090
坏小孩cium,"今天在二手交易网上看到了一个二手轮椅，看着成色不错。,本来我是无聊，想买来代步用的，就和老公说：我想买个轮椅。,老公听完出去抽了半包烟。回来语气幽怨的和我说：我最近没得罪你啊，你就这么着急送我走吗？那你直接买个唢呐回来吹得了。","
2020-08-25 07:13
",1968
狐地瓜大人,"忙着码字，看了一眼手机，群里有人拉票，顺手回了一句：拉票也不发个红包表示一下！,回完信息接着码字，过了会有人通知我去经理办公室，并且要求带上手机…","
2020-08-20 15:09
",1367
空城旧梦她与伞,"晚上，洗完澡后去溜达，发现小区门口新开了一家小小的牛肉面馆。一个大妈在掌勺，一个年轻妹子帮手，那年轻妹子身材、相貌都不错，挺漂亮的。,我点了一碗面，吃完后，才发现没带现金，手机也没带。于是和大妈说道：老板娘，不好意思啊，忘带现金和手机啦，我就住这小区，现在马上回家拿，十分钟就行。,大妈好像有点不太相信我，犹豫着。,我急了：你放一百个心，十分钟之后我不回来，我就是您儿子。,年轻女子听到后，脸突然红了，低着头轻轻的呸了一声。,大妈则不愿意啦：臭不要脸，休想打我 儿媳妇的主意！","
2020-09-01 06:16
",2204
狐小乔,"老弟初中时，英语老师是班主任。一次放学了，老弟放学了还在学校徘徊。老师问他怎么了，老弟委委屈屈地说数学考得不好，不太敢回家，怕挨打。,英语老师生气地说:这都什么年代了，还打孩子，我护着你别怕！我弟还是怂:可是老师，我就考了六分。,老师愣了一下，拉着他就去了办公室。据说那天整个教学楼都是老弟的惨叫……","
2020-09-07 11:40
",1099
正版煮茶,我儿子去学画画，第一节课学画月饼，老师发月饼给大家吃。第二节课学画石榴，画完老师剥石榴给大家吃。第三节课我儿子不肯去，我问他为什么不肯去？他说老师第三节课要教我们画可爱的蚯蚓。,"
2020-09-13 21:32
",1601
狐地瓜大人,"乘坐飞机，我旁边坐了一对情侣。妹子坐,在中间，用平板看电影打发时间。我也侧,目蹭电影看，妹子见我也跟着看电影，就,把平板往我这边推了推，还热情的要分我,一个耳机，邀我共同观看 .,我不好意思，就想拒绝妹子的邀请，当瞥,见她男友用幽怨的眼神望着我时，我坚定,的接过了耳机！","
2020-08-06 13:51
",1396
歌歌哒f,"娃最近有点感冒要抱着才肯睡，中午我抱着他时，看见他鼻子周围敷了一层鼻涕，我看着怪难受的就用手把它扣下来，,可扣一块他就吸一块进鼻孔，扣一块吸一块，就在我想着他是不是吸上瘾了时突然扣下了一块大的，,他又吸了一口气，由于这块太大被挡在了鼻孔外，随着娃的呼吸，那块干燥的鼻涕也一扇一扇的，,我本来是打算把它拿下来，但看着这是最后一块也是最大的一块又忍住了，想再看看，,就这样它一次次撞在娃的鼻子上，我发现那块干鼻涕居然跌跌撞撞的往里走了，,我有些后悔又有些害怕它堵住孩子鼻孔不能让他呼吸，,于是我凑近他的鼻孔想看看能不能采取什么补救措施，,突然娃一个喷嚏直接打坐了起来，尼玛那块干鼻涕和以前吸进去的那些一起飞出来沾了我一脸……","
2020-07-23 10:37
",1304
璃白°,"去自助餐厅吃饭，一定要注意吃的顺序，比如下面这款顺序，就能吃回本。,先肉类，再水果，然后甜品，饮料不要喝了，记得重要的带上非常多的小塑料袋，洗手间做仓，用你的包包在洗手最后统一装货。","
2020-09-03 06:21
",1284
夲少姓〖劉〗,"刚刚和媳妇看到一个新闻，某地煤气爆炸，楼都塌了，搜救犬在废墟中找到一个幸存者，消防战士经过努力终于把人救了出来，看到被救的小姐姐被消防战士抱着走出废墟的时候，很是感人，这时媳妇悠悠的来了一句，“看来我要减肥了，万一人家抱我把人家腰给扭了可咋整！”,我…","
2020-08-30 14:47
",1296
聊天不撩妹子,"昨晚跟老爷子电话，问他家里有啥事没有？,老爷子告诉我说家里都很好，就是城里退休回来的远房堂哥出事了！,我问：咋回是？,他说：跳广场舞把腿摔断了！,我问跳广场舞也能把腿摔断了，这得使多大劲啊？,他说：这是家里人帮他要脸的，事实是他被他初恋老公打断的！,我。。。。。","
2020-08-11 05:58
",1201
坏小孩cium,"我一路跌跌撞撞奔向我胖哥，深情且委屈巴巴的对他说：我这一路走来不容易，你一定要对我好，我克服了重重困难才来到你面前。。。。,我胖哥诚恳的点点头：是啊，太不容易了，你从小食街那头一路走过来经过了烤鸭店火锅炸串章鱼小丸子水煎饺臭豆腐等等各种小吃，忍着没有买，流着口水走到我面前，确实不容易。。。","
2020-09-10 07:14
",1427
义行天下7,理了个光头去坐 火 车回老 家，被 jing.察 叔叔 喊到 执 勤 室盘 问半天，出来一看所乘坐的 火 车班次已经开走了！,"
2020-08-01 06:44
",1566
吃了两碗又盛,"晚饭后在小区里溜达，听后面有电动车的声音，一个女声貌似对后座的孩子说话:儿子你别动，妈妈技术不好，别把咱俩摔了。,特么，劳资听了这话也不敢动了","
2020-08-11 19:51
",1635
吃了两碗又盛,"那时候因为工作需要，经常坐火车。火车站有警察专门追缉逃犯核对身份。,每次进火车站，别人都痛痛快快地过去了，到我这，准保要查验身份证，外加盘问一番","
2020-07-31 12:52
",1328
出门太难,"昨天晚上，我在大街上散步的时候，一个三十多岁的男子拉着只藏獒，突然从小巷里冲出来，吓了我一跳。,我赶紧闪在一边，紧张的说：拉好你的狗！小心咬着人！,那男子哼了一声说：咬着就咬着！咋了？！,看着这一人一狗的背影，我气不打一处的来！我快速衡量了一下：如果单纯只是那个男子，我可以打两个！可是四个我加起来，赤手空拳的，也肯定打不过那只藏獒啊！……,我正在纠结呢，那只藏獒似乎感觉到了我的恶意，转回身来，凶狠的注视着我！！,我立刻扭头就走，屁都没敢放一个！那一刻，我怂了！。。。真特么怂了！！","
2020-07-21 13:39
",1024
糗糗queen,前天七夕我爸一个人跑我家来了，说是想孙女了来看看，可我总觉得事情没那么简单，今天跟我妈打电话才知道，原来是被我妈赶出来的。说是我爸一辈子没给我妈送过花，说好了今年七夕送她999朵玫瑰花的，我妈都期待半个月了，当天还化了个妆穿上了最漂亮的衣服，准备发朋友圈炫耀一下的，结果，就收到一大包玫瑰花茶！爹啊，这我是真帮不了您了。。。。。。,"
2020-08-27 07:36
",1444
坏小孩cium,"妞妞害怕各种虫子，看到虫子吓得嗷嗷叫,今天她姥姥安慰她：宝贝，别怕，你妈妈就不怕虫子，她小时候我看不住的时候，专门抓虫子往嘴里放嚼，完了还哭唧唧的说，不好吃！不好吃。。。","
2020-08-14 06:30
",1263
狐地瓜大人,"电梯里走进来一对情侣，各自低着头玩手机。电梯门开，男的一边低头看手机，一边抓住我胳膊就往外走…,走了大概10多米，拐了个弯，我拉开他的手说：你拉错人了吧。那男的看了看我，“卧 槽”一声，又奔向电梯。剩下我独自继续往外走，深藏功与名！","
2020-09-02 14:12
",1542
惨剧见多了,"今天骑自行车通勤上下班，没带手电，路过一乌漆麻黑的道路，正好一外卖小哥骑着电动车经过，就在我后面照了两公里。,到了大路跟外卖小哥到了一声谢，外卖小哥冲我挥了挥手。,虽然不是什么笑话，但是那一刻确实很感动，祝不知道姓名的外卖小哥出入平安，月入十万！","
2020-08-18 00:50
",2637
卖火柴的小妮子,"男票学法学三年了，辩论可强悍了。,因为物业费用问题，我和物业争执起来，双方情绪很激动，就差动手了，我打电话让他过来.,只见他开着朋友的大奔过来，一下车，掏出华子递给物业人员，一副大拿派头：兄弟，我女友不懂事，你别计较哈，没啥大问题吧，哈哈哈。。。有事慢慢谈嘛。。。,对方接过华子，喵了一下我对象的车：这位小兄弟的话我就爱听，小事，好说。。。","
2020-08-28 07:18
",1712
狐小乔,"今天返校，爸妈为了送我赶高铁，很早就起床。,分别那会儿是百般不舍得，我的眼中也不禁含上热泪……,要不是昨天看见这两个人明天飞三亚的机票，,我还就真的信了你的邪！","
2020-09-05 08:28
",1375
前夜不忙后夜忙！,从小到大，升旗时注意力不是在国旗上，而是看看国歌奏完时，国旗是不是正好停在国旗杆顶！,"
2020-09-04 21:38
",1497
狐小乔,"小叔子不愿意结婚，他想一直做快乐的单身狗，说结婚对男人没好处。,老公劝他说：每个人都要结婚，结婚能使人得到提高。,小叔子：哥，你得到什么提高？,二货老公：结婚后，我有三个方面得到提高，分别是体重、发际线和账单。","
2020-08-20 22:03
",1766
忧郁的创可贴,"周末到公司加班，刚到地库就看到了公司一把手的车，嘿，这班加的挺划算啊，正好能在领导面前显摆一把。,进公司拿了份文件就去找他签字，一推门发现平日不苟言笑的领导，在屋里一边听着最近的网红歌曲《你莫走》一边超大声音的跟着男伴奏点唱。。。,为了缓解尴尬，我只好破锣嗓子跟着《你莫走》女生的伴奏唱了起来。。。","
2020-08-05 07:16
",1296
芭蕉窗下听雨声,"跟刚回来的老公说：你知道一句话吗？,只羡鸳鸯不羡仙。,老公歪着脑袋看我半天说：你确定？,我坚定的点点头。,谁知他立马拿出手机说：来，自己看看。,我一看是：鸳鸯雌鸟在家养育幼崽，雄鸟到别处求偶。","
2020-08-31 15:45
",1575
小恩的老公8,"早上我穿件新款白色恤衫，准备去单位上班，老妈看了看我突然说，咋了？你的衣服怎么前面短，后边长？我笑着回答，衣服缩水了吧！,媳妇过来仔细一看，缩个屁，是你的啤酒肚撑的……","
2020-08-28 10:34
",1534
俅俅沐,记得小时候。我妈特爱打麻将 玩起来麻将就忘了给我做饭 我就天天吃的华丰三鲜伊面 吃了一个月 吃吐了，我妈看着 特别心疼 然后给我换了一箱康师傅……好笑求关注[沙雕][沙雕][沙雕],"
2020-08-27 23:45
",1756
冬日阳光温馨,坐车剪指甲，一会儿，上来一美眉。我去，裤子成网子了。感觉美中不足，给她一左一右剪开。下车时，随风飘动，翩翩起舞。会不会成为今年曝款？我就问问，主要我只想知道，她追了我两条街了，是不是要感谢我。,"
2020-08-12 07:31
",1065
忧郁的创可贴,"家里人正在打麻将，母亲输了一晚上了，我刚下班回来，凑过去看的时候，母亲又是一把烂牌，怎么都胡不动的，正咧嘴准备笑她呢。。。,不知道怎么滴桌子在我凑过去的时候，没挨着呢，就翻了桌子，妈妈在一边很火大的说我：多大的人了，还老是毛手毛脚，别碰我桌子。。。,留下快胡牌的爸爸，大哥，嫂子，一脸怒气的看着我。。。","
2020-08-24 08:33
",2994
胖香,闺女在网上看上了一套贴纸，想让我给她买，我趴在床上玩手机，跟她说腰疼，失意她给我按摩……好家伙，两只小手从我脖埂子到大腿一通乱扒拉，最后充满斗志的跟我说:“今天就是不买贴纸，我也一定要找到你的腰！”,"
2020-07-27 07:31
",1512
